character,1_Anatomy_Park_lines,1_Anatomy_Park_words,1_Close_Rick-Counters_of_the_Rick_Kind_lines,1_Close_Rick-Counters_of_the_Rick_Kind_words,1_Lawnmower_Dog_lines,1_Lawnmower_Dog_words,1_M._Night_Shaym-Aliens!_lines,1_M._Night_Shaym-Aliens!_words,1_Meeseeks_and_Destroy_lines,1_Meeseeks_and_Destroy_words,1_Pilot_lines,1_Pilot_words,1_Raising_Gazorpazorp_lines,1_Raising_Gazorpazorp_words,1_Rick_Potion_No._9_lines,1_Rick_Potion_No._9_words,1_Ricksy_Business_lines,1_Ricksy_Business_words,1_Rixty_Minutes_lines,1_Rixty_Minutes_words,1_Something_Ricked_This_Way_Comes_lines,1_Something_Ricked_This_Way_Comes_words,2_A_Rickle_in_Time_lines,2_A_Rickle_in_Time_words,2_Auto_Erotic_Assimilation_lines,2_Auto_Erotic_Assimilation_words,2_Big_Trouble_in_Little_Sanchez_lines,2_Big_Trouble_in_Little_Sanchez_words,2_Get_Schwifty_lines,2_Get_Schwifty_words,2_Interdimensional_Cable_2_Tempting_Fate_lines,2_Interdimensional_Cable_2_Tempting_Fate_words,2_Look_Who's_Purging_Now_lines,2_Look_Who's_Purging_Now_words,2_Mortynight_Run_lines,2_Mortynight_Run_words,2_The_Ricks_Must_Be_Crazy_lines,2_The_Ricks_Must_Be_Crazy_words,2_The_Wedding_Squanchers_lines,2_The_Wedding_Squanchers_words,2_Total_Rickall_lines,2_Total_Rickall_words,3_Morty's_Mind_Blowers_lines,3_Morty's_Mind_Blowers_words,3_Pickle_Rick_lines,3_Pickle_Rick_words,3_Rest_and_Ricklaxation_lines,3_Rest_and_Ricklaxation_words,3_Rickmancing_the_Stone_lines,3_Rickmancing_the_Stone_words,3_The_ABC's_of_Beth_lines,3_The_ABC's_of_Beth_words,3_The_Rickchurian_Mortydate_lines,3_The_Rickchurian_Mortydate_words,3_The_Ricklantis_Mixup_lines,3_The_Ricklantis_Mixup_words,3_The_Rickshank_Rickdemption_lines,3_The_Rickshank_Rickdemption_words,3_The_Whirly_Dirly_Conspiracy_lines,3_The_Whirly_Dirly_Conspiracy_words,3_Vindicators_3_The_Return_of_Worldender_lines,3_Vindicators_3_The_Return_of_Worldender_words
"""lawyer"" morty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,0,0,0,0
9/11 memory rick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0
a man in the audience,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abradolph lincoler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
accountant dog,0,0,0,0,2,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
agency direcotr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
agency director,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
agent #1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
agent #2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
agent #3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
