name,s1_lines,s1_words,s1_eps,s2_lines,s2_words,s2_eps,s3_lines,s3_words,s3_eps,all_lines,all_words,all_eps
9/11 memory rick,0,0,0,0,0,0,1,12,1,1,12,1
a man in the audience,0,0,0,5,24,1,0,0,0,5,24,1
abradolph lincoler,16,194,1,0,0,0,0,0,0,16,194,1
accountant dog,2,34,1,0,0,0,0,0,0,2,34,1
agency direcotr,0,0,0,0,0,0,1,4,1,1,4,1
agency director,0,0,0,0,0,0,20,176,1,20,176,1
agent #1,0,0,0,0,0,0,6,49,1,6,49,1
agent #2,0,0,0,0,0,0,7,42,1,7,42,1
agent #3,0,0,0,0,0,0,1,4,1,1,4,1
aide,0,0,0,5,67,1,0,0,0,5,67,1
alan,0,0,0,0,0,0,19,180,1,19,180,1
albert einstein,0,0,0,2,10,1,0,0,0,2,10,1
alejandro,2,49,1,0,0,0,0,0,0,2,49,1
alexander,3,28,1,0,0,0,0,0,0,3,28,1
alien,6,86,2,1,33,1,5,62,1,12,181,4
alien  1,0,0,0,1,16,1,0,0,0,1,16,1
alien 1,0,0,0,5,104,1,0,0,0,5,104,1
alien 2,0,0,0,2,14,1,0,0,0,2,14,1
alien agent,0,0,0,1,11,1,0,0,0,1,11,1
alien cop,0,0,0,1,2,1,0,0,0,1,2,1
alien doctor,0,0,0,15,306,1,0,0,0,15,306,1
alien man,0,0,0,3,49,2,0,0,0,3,49,2
alien nurse,0,0,0,4,21,1,0,0,0,4,21,1
alien snake,0,0,0,0,0,0,1,1,1,1,1,1
alien warlord,0,0,0,0,0,0,1,22,1,1,22,1
alien-robo judge,0,0,0,1,16,1,0,0,0,1,16,1
all,5,21,3,15,80,5,1,38,1,21,139,9
all but jerry,0,0,0,1,1,1,0,0,0,1,1,1
all classmates except morty,2,23,1,0,0,0,0,0,0,2,23,1
all meeseeks,2,9,1,0,0,0,0,0,0,2,9,1
all mortys,2,2,1,12,126,1,0,0,0,14,128,2
all mortys and all summers,0,0,0,1,1,1,0,0,0,1,1,1
all mortys and summer 2,0,0,0,1,5,1,0,0,0,1,5,1
all other meeseeks,1,9,1,0,0,0,0,0,0,1,9,1
all religious mortys,1,5,1,0,0,0,0,0,0,1,5,1
all rick phones,0,0,0,2,20,1,0,0,0,2,20,1
