name,word_1_text,word_1_count,word_2_text,word_2_count,word_3_text,word_3_count,word_4_text,word_4_count,word_5_text,word_5_count,word_6_text,word_6_count,word_7_text,word_7_count,word_8_text,word_8_count,word_9_text,word_9_count,word_10_text,word_10_count,3gram_1_text,3gram_1_count,3gram_2_text,3gram_2_count,3gram_3_text,3gram_3_count,3gram_4_text,3gram_4_count,3gram_5_text,3gram_5_count,3gram_6_text,3gram_6_count,3gram_7_text,3gram_7_count,3gram_8_text,3gram_8_count,3gram_9_text,3gram_9_count,3gram_10_text,3gram_10_count,4gram_1_text,4gram_1_count,4gram_2_text,4gram_2_count,4gram_3_text,4gram_3_count,4gram_4_text,4gram_4_count,4gram_5_text,4gram_5_count,4gram_6_text,4gram_6_count,4gram_7_text,4gram_7_count,4gram_8_text,4gram_8_count,4gram_9_text,4gram_9_count,4gram_10_text,4gram_10_count,5gram_1_text,5gram_1_count,5gram_2_text,5gram_2_count,5gram_3_text,5gram_3_count,5gram_4_text,5gram_4_count,5gram_5_text,5gram_5_count,5gram_6_text,5gram_6_count,5gram_7_text,5gram_7_count,5gram_8_text,5gram_8_count,5gram_9_text,5gram_9_count,5gram_10_text,5gram_10_count
abradolph lincoler,know,3,dont,2,not,2,rick,1,brought,1,world,1,suffering,1,abomination,1,tortured,1,duality,1,rick you brought,1,you brought me,1,brought me into,1,me into this,1,into this world,1,this world a,1,world a suffering,1,a suffering abomination,1,suffering abomination tortured,1,abomination tortured by,1,rick you brought me,1,you brought me into,1,brought me into this,1,me into this world,1,into this world a,1,this world a suffering,1,world a suffering abomination,1,a suffering abomination tortured,1,suffering abomination tortured by,1,abomination tortured by the,1,rick you brought me into,1,you brought me into this,1,brought me into this world,1,me into this world a,1,into this world a suffering,1,this world a suffering abomination,1,world a suffering abomination tortured,1,a suffering abomination tortured by,1,suffering abomination tortured by the,1,abomination tortured by the duality,1
agency director,pickle,6,hes,3,man,3,building,2,shut,2,children,2,solenya,2,jaguar,2,helicopter,2,34,1,what is it,1,where is it,1,we have 34,1,have 34 armed,1,34 armed guards,1,armed guards and,1,guards and we,1,and we cant,1,we cant kill,1,cant kill a,1,we have 34 armed,1,have 34 armed guards,1,34 armed guards and,1,armed guards and we,1,guards and we cant,1,and we cant kill,1,we cant kill a,1,cant kill a pickle,1,put him on and,1,him on and locate,1,we have 34 armed guards,1,have 34 armed guards and,1,34 armed guards and we,1,armed guards and we cant,1,guards and we cant kill,1,and we cant kill a,1,we cant kill a pickle,1,put him on and locate,1,him on and locate the,1,on and locate the phone,1
agent #1,pickle,1,rat,1,both,1,seems,1,using,1,air,1,ducts,1,mail,1,tubes,1,get,1,a pickle a,1,pickle a rat,1,a rat both,1,it seems to,1,seems to be,1,to be using,1,be using the,1,using the air,1,the air ducts,1,air ducts and,1,a pickle a rat,1,pickle a rat both,1,it seems to be,1,seems to be using,1,to be using the,1,be using the air,1,using the air ducts,1,the air ducts and,1,air ducts and the,1,ducts and the mail,1,a pickle a rat both,1,it seems to be using,1,seems to be using the,1,to be using the air,1,be using the air ducts,1,using the air ducts and,1,the air ducts and the,1,air ducts and the mail,1,ducts and the mail tubes,1,and the mail tubes to,1
agent #2,solenya,2,hes,2,says,1,scientist,1,phone,1,coming,1,because,1,threw,1,halfway,1,sandwich,1,it says its,1,says its a,1,its a scientist,1,its on the,1,on the phone,1,solenya hes coming,1,hes coming its,1,coming its because,1,its because i,1,because i threw,1,it says its a,1,says its a scientist,1,its on the phone,1,solenya hes coming its,1,hes coming its because,1,coming its because i,1,its because i threw,1,because i threw halfway,1,i threw halfway my,1,threw halfway my sandwich,1,it says its a scientist,1,solenya hes coming its because,1,hes coming its because i,1,coming its because i threw,1,its because i threw halfway,1,because i threw halfway my,1,i threw halfway my sandwich,1,that money belongs to the,1,money belongs to the people,1,yes and the police are,1
alan,unspoken,3,train,2,one,2,good,2,motherfucker,2,back,2,two,2,yeah,2,wish,1,ability,1,i wish he,1,wish he had,1,he had the,1,had the ability,1,the ability to,1,ability to check,1,to check is,1,check is attitude,1,i couldve just,1,couldve just used,1,i wish he had,1,wish he had the,1,he had the ability,1,had the ability to,1,the ability to check,1,ability to check is,1,to check is attitude,1,i couldve just used,1,couldve just used a,1,just used a ghost,1,i wish he had the,1,wish he had the ability,1,he had the ability to,1,had the ability to check,1,the ability to check is,1,ability to check is attitude,1,i couldve just used a,1,couldve just used a ghost,1,just used a ghost train,1,son of a steam engine,1
alien,roy,3,know,3,guy,2,doesnt,2,detox,2,get,2,trying,2,eat,2,passing,1,sees,1,passing by sees,1,by sees rick,1,sees rick playing,1,rick playing roy,1,playing roy holy,1,roy holy shit,1,holy shit this,1,shit this guys,1,this guys taking,1,guys taking roy,1,passing by sees rick,1,by sees rick playing,1,sees rick playing roy,1,rick playing roy holy,1,playing roy holy shit,1,roy holy shit this,1,holy shit this guys,1,shit this guys taking,1,this guys taking roy,1,guys taking roy off,1,passing by sees rick playing,1,by sees rick playing roy,1,sees rick playing roy holy,1,rick playing roy holy shit,1,playing roy holy shit this,1,roy holy shit this guys,1,holy shit this guys taking,1,shit this guys taking roy,1,this guys taking roy off,1,guys taking roy off the,1
alien doctor,smith,5,alien,5,theres,4,hospital,3,got,3,mr,2,youre,2,another,2,jerry,2,mrs,2,an alien hospital,2,hundreds of billions,2,an alien towel,2,relax mr smith,1,mr smith youre,1,smith youre in,1,youre in an,1,in an alien,1,alien hospital i,1,hospital i mean,1,relax mr smith youre,1,mr smith youre in,1,smith youre in an,1,youre in an alien,1,in an alien hospital,1,an alien hospital i,1,alien hospital i mean,1,hospital i mean to,1,i mean to you,1,mean to you its,1,relax mr smith youre in,1,mr smith youre in an,1,smith youre in an alien,1,youre in an alien hospital,1,in an alien hospital i,1,an alien hospital i mean,1,alien hospital i mean to,1,hospital i mean to you,1,i mean to you its,1,mean to you its an,1
all,yeah,5,head,4,bent,4,raised,3,posterior,3,remember,3,barbecue,3,our,3,love,2,connection,2,head bent over,4,bent over raised,3,over raised up,3,raised up posterior,3,remember the barbecue,3,up posterior head,2,posterior head bent,2,love connection experience,2,the barbecue remember,2,barbecue remember the,2,head bent over raised,3,bent over raised up,3,over raised up posterior,3,raised up posterior head,2,up posterior head bent,2,posterior head bent over,2,remember the barbecue remember,2,the barbecue remember the,2,barbecue remember the barbecue,2,yeah we did it,1,head bent over raised up,3,bent over raised up posterior,3,over raised up posterior head,2,raised up posterior head bent,2,up posterior head bent over,2,remember the barbecue remember the,2,the barbecue remember the barbecue,2,posterior head bent over raised,1,yeah whoo awesome called it,1,whoo awesome called it thats,1
all mortys,rick,4,well,2,whoa,2,certain,2,time,2,know,2,dont,1,exactly,1,make,1,easy,1,well you dont,1,you dont exactly,1,dont exactly make,1,exactly make it,1,make it easy,1,it easy rick,1,rick what the,1,what the hell,1,the hell are,1,hell are you,1,well you dont exactly,1,you dont exactly make,1,dont exactly make it,1,exactly make it easy,1,make it easy rick,1,rick what the hell,1,what the hell are,1,the hell are you,1,hell are you doing,1,well if all of,1,well you dont exactly make,1,you dont exactly make it,1,dont exactly make it easy,1,exactly make it easy rick,1,rick what the hell are,1,what the hell are you,1,the hell are you doing,1,well if all of me,1,if all of me knocked,1,all of me knocked out,1
all ricks,youre,8,know,8,both,7,dont,7,time,6,two,5,about,5,belch,4,sit,4,alright,4,what the hell,2,you have to,2,the two of,2,two of you,2,to understand that,2,to kill me,2,in the cupboards,2,you think im,2,expect you to,2,you to understand,2,the two of you,2,expect you to understand,2,what the hell is,1,the hell is wrong,1,hell is wrong with,1,is wrong with you,1,wrong with you two,1,with you two ii,1,you two ii mi,1,two ii mi mi,1,what the hell is wrong,1,the hell is wrong with,1,hell is wrong with you,1,is wrong with you two,1,wrong with you two ii,1,with you two ii mi,1,you two ii mi mi,1,two ii mi mi mean,1,ii mi mi mean you,1,mi mi mean you four,1
