episode,char1,char2,count
1_Anatomy_Park,beth,"beth, summer, and morty",1
1_Anatomy_Park,beth,jacob,5
1_Anatomy_Park,beth,jerry,4
1_Anatomy_Park,beth,joyce,2
1_Anatomy_Park,beth,leonard,3
1_Anatomy_Park,beth,morty,2
1_Anatomy_Park,beth,rick,2
1_Anatomy_Park,beth,ruben,1
1_Anatomy_Park,beth,summer,5
1_Anatomy_Park,"beth, summer, and morty",jacob,1
1_Anatomy_Park,"beth, summer, and morty",jerry,1
1_Anatomy_Park,"beth, summer, and morty",joyce,1
1_Anatomy_Park,"beth, summer, and morty",leonard,1
1_Anatomy_Park,"beth, summer, and morty",morty,1
1_Anatomy_Park,"beth, summer, and morty",rick,1
1_Anatomy_Park,"beth, summer, and morty",ruben,1
1_Anatomy_Park,"beth, summer, and morty",summer,1
1_Anatomy_Park,jacob,jerry,5
1_Anatomy_Park,jacob,joyce,3
1_Anatomy_Park,jacob,leonard,3
1_Anatomy_Park,jacob,morty,1
1_Anatomy_Park,jacob,rick,1
1_Anatomy_Park,jacob,ruben,1
1_Anatomy_Park,jacob,summer,6
1_Anatomy_Park,jerry,joyce,3
1_Anatomy_Park,jerry,leonard,3
1_Anatomy_Park,jerry,morty,1
1_Anatomy_Park,jerry,rick,2
1_Anatomy_Park,jerry,ruben,1
1_Anatomy_Park,jerry,summer,5
1_Anatomy_Park,joyce,leonard,2
1_Anatomy_Park,joyce,morty,1
1_Anatomy_Park,joyce,rick,1
1_Anatomy_Park,joyce,ruben,1
1_Anatomy_Park,joyce,summer,3
1_Anatomy_Park,leonard,morty,1
1_Anatomy_Park,leonard,rick,1
1_Anatomy_Park,leonard,ruben,1
1_Anatomy_Park,leonard,summer,3
1_Anatomy_Park,morty,rick,11
1_Anatomy_Park,morty,ruben,1
1_Anatomy_Park,morty,summer,1
1_Anatomy_Park,rick,ruben,1
1_Anatomy_Park,rick,summer,1
1_Anatomy_Park,ruben,summer,1
1_Anatomy_Park,automated voice,morty,1
1_Anatomy_Park,automated voice,rick,1
1_Anatomy_Park,dr. bloom,morty,8
1_Anatomy_Park,dr. bloom,poncho,6
1_Anatomy_Park,dr. bloom,rick,4
1_Anatomy_Park,morty,poncho,6
1_Anatomy_Park,poncho,rick,3
1_Anatomy_Park,dr. bloom,roger,5
1_Anatomy_Park,morty,roger,5
1_Anatomy_Park,poncho,roger,5
1_Anatomy_Park,rick,roger,2
1_Anatomy_Park,alexander,annie,1
1_Anatomy_Park,alexander,dr. bloom,1
1_Anatomy_Park,alexander,morty,2
1_Anatomy_Park,alexander,poncho,1
1_Anatomy_Park,alexander,roger,1
1_Anatomy_Park,annie,dr. bloom,6
1_Anatomy_Park,annie,morty,8
1_Anatomy_Park,annie,poncho,4
1_Anatomy_Park,annie,roger,4
1_Anatomy_Park,annie,rick,6
1_Anatomy_Park,animatronics,annie,1
1_Anatomy_Park,animatronics,dr. bloom,1
1_Anatomy_Park,animatronics,morty,1
1_Anatomy_Park,animatronics,poncho,1
1_Anatomy_Park,animatronics,roger,1
1_Anatomy_Park,beth,ethan,1
1_Anatomy_Park,ethan,jacob,2
1_Anatomy_Park,ethan,jerry,2
1_Anatomy_Park,ethan,leonard,1
1_Anatomy_Park,ethan,summer,2
1_Anatomy_Park,ethan,joyce,1
1_Anatomy_Park,animatronic ruben,annie,1
1_Anatomy_Park,animatronic ruben,rick,1
1_Anatomy_Park,eric,reporter,1
1_Anatomy_Park,eric,tom,1
1_Anatomy_Park,reporter,tom,1
1_Anatomy_Park,beth,reporter,1
1_Anatomy_Park,jacob,reporter,1
1_Anatomy_Park,jerry,reporter,1
1_Anatomy_Park,reporter,summer,1
1_Anatomy_Park,alejandro,all,1
1_Anatomy_Park,alejandro,annie,1
1_Anatomy_Park,alejandro,ethan,1
1_Anatomy_Park,alejandro,rick,1
1_Anatomy_Park,all,annie,1
1_Anatomy_Park,all,ethan,1
1_Anatomy_Park,all,rick,1
1_Anatomy_Park,annie,ethan,1
1_Anatomy_Park,ethan,rick,1
1_Close_Rick-Counters_of_the_Rick_Kind,beth,rick,3
1_Close_Rick-Counters_of_the_Rick_Kind,beth,jerry,3
1_Close_Rick-Counters_of_the_Rick_Kind,beth,morty,1
1_Close_Rick-Counters_of_the_Rick_Kind,beth,rick 1,3
1_Close_Rick-Counters_of_the_Rick_Kind,beth,summer,1
1_Close_Rick-Counters_of_the_Rick_Kind,jerry,morty,1
1_Close_Rick-Counters_of_the_Rick_Kind,jerry,rick,3
1_Close_Rick-Counters_of_the_Rick_Kind,jerry,rick 1,4
1_Close_Rick-Counters_of_the_Rick_Kind,jerry,summer,1
1_Close_Rick-Counters_of_the_Rick_Kind,morty,rick,9
1_Close_Rick-Counters_of_the_Rick_Kind,morty,rick 1,3
1_Close_Rick-Counters_of_the_Rick_Kind,morty,summer,1
1_Close_Rick-Counters_of_the_Rick_Kind,rick,rick 1,5
1_Close_Rick-Counters_of_the_Rick_Kind,rick,summer,1
1_Close_Rick-Counters_of_the_Rick_Kind,rick 1,summer,1
1_Close_Rick-Counters_of_the_Rick_Kind,morty,morty doll,1
1_Close_Rick-Counters_of_the_Rick_Kind,morty,rick salesman 1,1
1_Close_Rick-Counters_of_the_Rick_Kind,morty,rick salesman 2,1
1_Close_Rick-Counters_of_the_Rick_Kind,morty,rick salseman 3,1
