episode,char1,char2,count
Anatomy_Park.txt,beth,"beth, summer, and morty",1
Anatomy_Park.txt,beth,jacob,5
Anatomy_Park.txt,beth,jerry,4
Anatomy_Park.txt,beth,joyce,2
Anatomy_Park.txt,beth,leonard,3
Anatomy_Park.txt,beth,morty,2
Anatomy_Park.txt,beth,rick,2
Anatomy_Park.txt,beth,ruben,1
Anatomy_Park.txt,beth,summer,5
Anatomy_Park.txt,"beth, summer, and morty",jacob,1
Anatomy_Park.txt,"beth, summer, and morty",jerry,1
Anatomy_Park.txt,"beth, summer, and morty",joyce,1
Anatomy_Park.txt,"beth, summer, and morty",leonard,1
Anatomy_Park.txt,"beth, summer, and morty",morty,1
Anatomy_Park.txt,"beth, summer, and morty",rick,1
Anatomy_Park.txt,"beth, summer, and morty",ruben,1
Anatomy_Park.txt,"beth, summer, and morty",summer,1
Anatomy_Park.txt,jacob,jerry,5
Anatomy_Park.txt,jacob,joyce,3
Anatomy_Park.txt,jacob,leonard,3
Anatomy_Park.txt,jacob,morty,1
Anatomy_Park.txt,jacob,rick,1
Anatomy_Park.txt,jacob,ruben,1
Anatomy_Park.txt,jacob,summer,6
Anatomy_Park.txt,jerry,joyce,3
Anatomy_Park.txt,jerry,leonard,3
Anatomy_Park.txt,jerry,morty,1
Anatomy_Park.txt,jerry,rick,2
Anatomy_Park.txt,jerry,ruben,1
Anatomy_Park.txt,jerry,summer,5
Anatomy_Park.txt,joyce,leonard,2
Anatomy_Park.txt,joyce,morty,1
Anatomy_Park.txt,joyce,rick,1
Anatomy_Park.txt,joyce,ruben,1
Anatomy_Park.txt,joyce,summer,3
Anatomy_Park.txt,leonard,morty,1
Anatomy_Park.txt,leonard,rick,1
Anatomy_Park.txt,leonard,ruben,1
Anatomy_Park.txt,leonard,summer,3
Anatomy_Park.txt,morty,rick,11
Anatomy_Park.txt,morty,ruben,1
Anatomy_Park.txt,morty,summer,1
Anatomy_Park.txt,rick,ruben,1
Anatomy_Park.txt,rick,summer,1
Anatomy_Park.txt,ruben,summer,1
Anatomy_Park.txt,automated voice,morty,1
Anatomy_Park.txt,automated voice,rick,1
Anatomy_Park.txt,dr. bloom,morty,8
Anatomy_Park.txt,dr. bloom,poncho,6
Anatomy_Park.txt,dr. bloom,rick,4
Anatomy_Park.txt,morty,poncho,6
Anatomy_Park.txt,poncho,rick,3
Anatomy_Park.txt,dr. bloom,roger,5
Anatomy_Park.txt,morty,roger,5
Anatomy_Park.txt,poncho,roger,5
Anatomy_Park.txt,rick,roger,2
Anatomy_Park.txt,alexander,annie,1
Anatomy_Park.txt,alexander,dr. bloom,1
Anatomy_Park.txt,alexander,morty,2
Anatomy_Park.txt,alexander,poncho,1
Anatomy_Park.txt,alexander,roger,1
Anatomy_Park.txt,annie,dr. bloom,6
Anatomy_Park.txt,annie,morty,8
Anatomy_Park.txt,annie,poncho,4
Anatomy_Park.txt,annie,roger,4
Anatomy_Park.txt,annie,rick,6
Anatomy_Park.txt,animatronics,annie,1
Anatomy_Park.txt,animatronics,dr. bloom,1
Anatomy_Park.txt,animatronics,morty,1
Anatomy_Park.txt,animatronics,poncho,1
Anatomy_Park.txt,animatronics,roger,1
Anatomy_Park.txt,beth,ethan,1
Anatomy_Park.txt,ethan,jacob,2
Anatomy_Park.txt,ethan,jerry,2
Anatomy_Park.txt,ethan,leonard,1
Anatomy_Park.txt,ethan,summer,2
Anatomy_Park.txt,ethan,joyce,1
Anatomy_Park.txt,animatronic ruben,annie,1
Anatomy_Park.txt,animatronic ruben,rick,1
Anatomy_Park.txt,eric,reporter,1
Anatomy_Park.txt,eric,tom,1
Anatomy_Park.txt,reporter,tom,1
Anatomy_Park.txt,beth,reporter,1
Anatomy_Park.txt,jacob,reporter,1
Anatomy_Park.txt,jerry,reporter,1
Anatomy_Park.txt,reporter,summer,1
Anatomy_Park.txt,alejandro,all,1
Anatomy_Park.txt,alejandro,annie,1
Anatomy_Park.txt,alejandro,ethan,1
Anatomy_Park.txt,alejandro,rick,1
Anatomy_Park.txt,all,annie,1
Anatomy_Park.txt,all,ethan,1
Anatomy_Park.txt,all,rick,1
Anatomy_Park.txt,annie,ethan,1
Anatomy_Park.txt,ethan,rick,1
Close_Rick-Counters_of_the_Rick_Kind.txt,beth,rick,3
Close_Rick-Counters_of_the_Rick_Kind.txt,beth,jerry,3
Close_Rick-Counters_of_the_Rick_Kind.txt,beth,morty,1
Close_Rick-Counters_of_the_Rick_Kind.txt,beth,rick 1,3
Close_Rick-Counters_of_the_Rick_Kind.txt,beth,summer,1
Close_Rick-Counters_of_the_Rick_Kind.txt,jerry,morty,1
Close_Rick-Counters_of_the_Rick_Kind.txt,jerry,rick,3
Close_Rick-Counters_of_the_Rick_Kind.txt,jerry,rick 1,4
Close_Rick-Counters_of_the_Rick_Kind.txt,jerry,summer,1
Close_Rick-Counters_of_the_Rick_Kind.txt,morty,rick,9
Close_Rick-Counters_of_the_Rick_Kind.txt,morty,rick 1,3
Close_Rick-Counters_of_the_Rick_Kind.txt,morty,summer,1
Close_Rick-Counters_of_the_Rick_Kind.txt,rick,rick 1,5
