speaker,listener,3gram_phrase,3gram_count,4gram_phrase,4gram_count,5gram_phrase,5gram_count
alejandro,all,we asked ourselves,2,hey rick its alejandro,1,hey rick its alejandro speaking,1
alejandro,annie,we asked ourselves,2,hey rick its alejandro,1,hey rick its alejandro speaking,1
alejandro,ethan,we asked ourselves,2,hey rick its alejandro,1,hey rick its alejandro speaking,1
alejandro,rick,we asked ourselves,2,hey rick its alejandro,1,hey rick its alejandro speaking,1
alien doctor,alien 1,an alien hospital,2,relax mr smith youre,1,relax mr smith youre in,1
alien doctor,alien 2,an alien hospital,2,relax mr smith youre,1,relax mr smith youre in,1
alien doctor,beth,hundreds of billions,2,i wanted to let,1,i wanted to let you,1
alien doctor,jerry,an alien hospital,2,relax mr smith youre,1,relax mr smith youre in,1
alien doctor,old alien,an alien hospital,2,relax mr smith youre,1,relax mr smith youre in,1
all,aide,head bent over,4,head bent over raised,3,head bent over raised up,3
all,amish cyborg,remember the barbecue,3,remember the barbecue remember,2,remember the barbecue remember the,2
all,arbolian meterososian,head bent over,4,head bent over raised,3,head bent over raised up,3
all,balloon man,head bent over,4,head bent over raised,3,head bent over raised up,3
all,beth,head bent over,4,head bent over raised,3,head bent over raised up,3
all,birdperson,head bent over,4,head bent over raised,3,head bent over raised up,3
all,cromulon,head bent over,4,head bent over raised,3,head bent over raised up,3
all,cross teddy bear,remember the barbecue,3,remember the barbecue remember,2,remember the barbecue remember the,2
all,duck with muscles,remember the barbecue,3,remember the barbecue remember,2,remember the barbecue remember the,2
all,ethan,head bent over,4,head bent over raised,3,head bent over raised up,3
all,everyone,head bent over,4,head bent over raised,3,head bent over raised up,3
all,father bob,head bent over,4,head bent over raised,3,head bent over raised up,3
all,frankenstein,remember the barbecue,3,remember the barbecue remember,2,remember the barbecue remember the,2
all,gary,remember the barbecue,3,remember the barbecue remember,2,remember the barbecue remember the,2
all,gerry,remember the barbecue,3,remember the barbecue remember,2,remember the barbecue remember the,2
all,ghost in a jar,remember the barbecue,3,remember the barbecue remember,2,remember the barbecue remember the,2
all,giant head,head bent over,4,head bent over raised,3,head bent over raised up,3
all,greebybobe,head bent over,4,head bent over raised,3,head bent over raised up,3
all,guards,head bent over,4,head bent over raised,3,head bent over raised up,3
all,hamurai,remember the barbecue,3,remember the barbecue remember,2,remember the barbecue remember the,2
all,ice-t,head bent over,4,head bent over raised,3,head bent over raised up,3
all,jerry,head bent over,4,head bent over raised,3,head bent over raised up,3
all,jerry and beth,head bent over,4,head bent over raised,3,head bent over raised up,3
all,jew,head bent over,4,head bent over raised,3,head bent over raised up,3
all,jump master,head bent over,4,head bent over raised,3,head bent over raised up,3
all,morty,head bent over,4,head bent over raised,3,head bent over raised up,3
all,mr poopybutthole,remember the barbecue,3,remember the barbecue remember,2,remember the barbecue remember the,2
all,mr. beauregard,remember the barbecue,3,remember the barbecue remember,2,remember the barbecue remember the,2
all,mr. goldenfold,head bent over,4,head bent over raised,3,head bent over raised up,3
all,mr. poopybutthole,remember the barbecue,3,remember the barbecue remember,2,remember the barbecue remember the,2
all,mrs refrigerator,remember the barbecue,3,remember the barbecue remember,2,remember the barbecue remember the,2
