speaker,listener,3gram_phrase,3gram_count,4gram_phrase,4gram_count,5gram_phrase,5gram_count
9/11 memory rick,cornvelious daniel,as an excuse,1,as an excuse to,1,as an excuse to strip,1
9/11 memory rick,morty,as an excuse,1,as an excuse to,1,as an excuse to strip,1
9/11 memory rick,rick,as an excuse,1,as an excuse to,1,as an excuse to strip,1
9/11 memory rick,summer,as an excuse,1,as an excuse to,1,as an excuse to strip,1
a man in the audience,comedian,um longtime fan,1,um longtime fan of,1,um longtime fan of the,1
abradolph lincoler,brad,but i shall,1,but i shall finally,1,but i shall finally know,1
abradolph lincoler,everyone except morty and jessica,but i shall,1,but i shall finally,1,but i shall finally know,1
abradolph lincoler,jessica,but i shall,1,but i shall finally,1,but i shall finally know,1
abradolph lincoler,morty,its weird cause,1,its weird cause i,1,its weird cause i definitely,1
abradolph lincoler,nancy,its weird cause,1,its weird cause i,1,its weird cause i definitely,1
abradolph lincoler,rick,but i shall,1,but i shall finally,1,but i shall finally know,1
abradolph lincoler,shirtless guy,i dont understand,1,i dont understand are,1,i dont understand are you,1
accountant dog,dr. dog,sir as your,1,sir as your accountant,1,sir as your accountant i,1
accountant dog,snuffles,sir as your,1,sir as your accountant,1,sir as your accountant i,1
agency direcotr,agency director,is it done,1,is it done jaguar,1,,0
agency direcotr,agent #2,is it done,1,is it done jaguar,1,,0
agency direcotr,pickle rick,is it done,1,is it done jaguar,1,,0
agency director,agency direcotr,do it okay,1,do it okay you,1,do it okay you win,1
agency director,agent #1,what is it,1,we have 34 armed,1,we have 34 armed guards,1
agency director,agent #2,what is it,1,we have 34 armed,1,we have 34 armed guards,1
agency director,jaguar,then katarina is,1,then katarina is a,1,then katarina is a prisoner,1
agency director,pickle rick,your mere presence,1,your mere presence in,1,your mere presence in this,1
agent #1,agency director,a pickle a,1,a pickle a rat,1,a pickle a rat both,1
agent #1,agent #2,a pickle a,1,a pickle a rat,1,a pickle a rat both,1
agent #1,pickle rick,go shoot to,1,go shoot to kill,1,,0
agent #2,agency direcotr,that money belongs,1,that money belongs to,1,that money belongs to the,1
agent #2,agency director,it says its,1,it says its a,1,it says its a scientist,1
agent #2,agent #1,it says its,1,it says its a,1,it says its a scientist,1
agent #2,pickle rick,that money belongs,1,that money belongs to,1,that money belongs to the,1
aide,all,sir pharrell newman,1,sir pharrell newman corgan,1,sir pharrell newman corgan and,1
aide,arbolian meterososian,sir pharrell newman,1,sir pharrell newman corgan,1,sir pharrell newman corgan and,1
aide,balloon man,sir pharrell newman,1,sir pharrell newman corgan,1,sir pharrell newman corgan and,1
aide,beth,sir pharrell newman,1,sir pharrell newman corgan,1,sir pharrell newman corgan and,1
aide,birdperson,sir pharrell newman,1,sir pharrell newman corgan,1,sir pharrell newman corgan and,1
aide,cromulon,sir pharrell newman,1,sir pharrell newman corgan,1,sir pharrell newman corgan and,1
aide,ethan,sir pharrell newman,1,sir pharrell newman corgan,1,sir pharrell newman corgan and,1
aide,everyone,sir pharrell newman,1,sir pharrell newman corgan,1,sir pharrell newman corgan and,1
aide,father bob,sir pharrell newman,1,sir pharrell newman corgan,1,sir pharrell newman corgan and,1
aide,giant head,sir pharrell newman,1,sir pharrell newman corgan,1,sir pharrell newman corgan and,1
aide,greebybobe,sir pharrell newman,1,sir pharrell newman corgan,1,sir pharrell newman corgan and,1
aide,guards,sir pharrell newman,1,sir pharrell newman corgan,1,sir pharrell newman corgan and,1
aide,ice-t,sir pharrell newman,1,sir pharrell newman corgan,1,sir pharrell newman corgan and,1
aide,jerry,sir pharrell newman,1,sir pharrell newman corgan,1,sir pharrell newman corgan and,1
aide,jerry and beth,sir pharrell newman,1,sir pharrell newman corgan,1,sir pharrell newman corgan and,1
aide,jew,sir pharrell newman,1,sir pharrell newman corgan,1,sir pharrell newman corgan and,1
aide,jump master,sir pharrell newman,1,sir pharrell newman corgan,1,sir pharrell newman corgan and,1
aide,morty,sir pharrell newman,1,sir pharrell newman corgan,1,sir pharrell newman corgan and,1
aide,mr. goldenfold,sir pharrell newman,1,sir pharrell newman corgan,1,sir pharrell newman corgan and,1
aide,nathan,sir pharrell newman,1,sir pharrell newman corgan,1,sir pharrell newman corgan and,1
aide,pastor bob,sir pharrell newman,1,sir pharrell newman corgan,1,sir pharrell newman corgan and,1
aide,president,sir pharrell newman,1,sir pharrell newman corgan,1,sir pharrell newman corgan and,1
aide,principal vagina,sir pharrell newman,1,sir pharrell newman corgan,1,sir pharrell newman corgan and,1
aide,rick,sir pharrell newman,1,sir pharrell newman corgan,1,sir pharrell newman corgan and,1
aide,rick and ice-t,sir pharrell newman,1,sir pharrell newman corgan,1,sir pharrell newman corgan and,1
aide,rick and morty,sir pharrell newman,1,sir pharrell newman corgan,1,sir pharrell newman corgan and,1
aide,simon,sir pharrell newman,1,sir pharrell newman corgan,1,sir pharrell newman corgan and,1
aide,summer,sir pharrell newman,1,sir pharrell newman corgan,1,sir pharrell newman corgan and,1
aide,tammy,sir pharrell newman,1,sir pharrell newman corgan,1,sir pharrell newman corgan and,1
alan,crocubot,i wish he,1,i wish he had,1,i wish he had the,1
alan,drunk rick,i told you,1,i told you not,1,i told you not to,1
alan,million ants,nothing we exterminated,1,nothing we exterminated a,1,nothing we exterminated a planet,1
alan,morty,i wish he,1,i wish he had,1,i wish he had the,1
alan,noob-noob,i wish he,1,i wish he had,1,i wish he had the,1
alan,rick,i wish he,1,i wish he had,1,i wish he had the,1
alan,supernova,i wish he,1,i wish he had,1,i wish he had the,1
alan,vance,son of a,1,son of a steam,1,son of a steam engine,1
albert einstein,testicle monster a,i vill mess,1,i vill mess vith,1,i vill mess vith time,1
albert einstein,testicle monster b,i vill mess,1,i vill mess vith,1,i vill mess vith time,1
alejandro,all,we asked ourselves,2,hey rick its alejandro,1,hey rick its alejandro speaking,1
alejandro,annie,we asked ourselves,2,hey rick its alejandro,1,hey rick its alejandro speaking,1
alejandro,ethan,we asked ourselves,2,hey rick its alejandro,1,hey rick its alejandro speaking,1
alejandro,rick,we asked ourselves,2,hey rick its alejandro,1,hey rick its alejandro speaking,1
alexander,annie,hey wait for,1,hey wait for me,1,hey wait for me removes,1
alexander,dr. bloom,hey wait for,1,hey wait for me,1,hey wait for me removes,1
alexander,morty,hey wait for,1,hey wait for me,1,hey wait for me removes,1
alexander,poncho,hey wait for,1,hey wait for me,1,hey wait for me removes,1
alexander,roger,hey wait for,1,hey wait for me,1,hey wait for me removes,1
alien,announcer,so i told,1,so i told him,1,so i told him give,1
alien,beth,so i told,1,so i told him,1,so i told him give,1
alien,bully,complimentary psychological detox,1,complimentary psychological detox removes,1,complimentary psychological detox removes all,1
alien,credits song,complimentary psychological detox,1,complimentary psychological detox removes,1,complimentary psychological detox removes all,1
alien,crying boy,complimentary psychological detox,1,complimentary psychological detox removes,1,complimentary psychological detox removes all,1
alien,female student,complimentary psychological detox,1,complimentary psychological detox removes,1,complimentary psychological detox removes all,1
alien,female student 2,complimentary psychological detox,1,complimentary psychological detox removes,1,complimentary psychological detox removes all,1
alien,female student looking into her mirror,complimentary psychological detox,1,complimentary psychological detox removes,1,complimentary psychological detox removes all,1
alien,glenn,so i told,1,so i told him,1,so i told him give,1
alien,groin system 6000,complimentary psychological detox,1,complimentary psychological detox removes,1,complimentary psychological detox removes all,1
alien,gromflomite,so i told,1,so i told him,1,so i told him give,1
alien,gromfomite,so i told,1,so i told him,1,so i told him give,1
alien,holly,complimentary psychological detox,1,complimentary psychological detox removes,1,complimentary psychological detox removes all,1
alien,jacquelyn,complimentary psychological detox,1,complimentary psychological detox removes,1,complimentary psychological detox removes all,1
alien,jerry,so i told,1,so i told him,1,so i told him give,1
alien,jessica,so i told,1,so i told him,1,so i told him give,1
alien,jessica on the phone,complimentary psychological detox,1,complimentary psychological detox removes,1,complimentary psychological detox removes all,1
alien,man,complimentary psychological detox,1,complimentary psychological detox removes,1,complimentary psychological detox removes all,1
alien,mitch,complimentary psychological detox,1,complimentary psychological detox removes,1,complimentary psychological detox removes all,1
alien,morty,so i told,1,so i told him,1,so i told him give,1
alien,mr. goldenfold,complimentary psychological detox,1,complimentary psychological detox removes,1,complimentary psychological detox removes all,1
alien,mrs. pancakes,complimentary psychological detox,1,complimentary psychological detox removes,1,complimentary psychological detox removes all,1
alien,off screen student,complimentary psychological detox,1,complimentary psychological detox removes,1,complimentary psychological detox removes all,1
alien,off screen student 2,complimentary psychological detox,1,complimentary psychological detox removes,1,complimentary psychological detox removes all,1
alien,other gromflomite,so i told,1,so i told him,1,so i told him give,1
alien,priest,complimentary psychological detox,1,complimentary psychological detox removes,1,complimentary psychological detox removes all,1
alien,radio,complimentary psychological detox,1,complimentary psychological detox removes,1,complimentary psychological detox removes all,1
alien,rick,so i told,1,so i told him,1,so i told him give,1
alien,stacey,complimentary psychological detox,1,complimentary psychological detox removes,1,complimentary psychological detox removes all,1
alien,stacy,complimentary psychological detox,1,complimentary psychological detox removes,1,complimentary psychological detox removes all,1
alien,student with glasses,complimentary psychological detox,1,complimentary psychological detox removes,1,complimentary psychological detox removes all,1
alien,summer,so i told,1,so i told him,1,so i told him give,1
alien,toxic morty,complimentary psychological detox,1,complimentary psychological detox removes,1,complimentary psychological detox removes all,1
alien,toxic rick,complimentary psychological detox,1,complimentary psychological detox removes,1,complimentary psychological detox removes all,1
alien,tricia,complimentary psychological detox,1,complimentary psychological detox removes,1,complimentary psychological detox removes all,1
alien,waiter,complimentary psychological detox,1,complimentary psychological detox removes,1,complimentary psychological detox removes all,1
alien,worker,complimentary psychological detox,1,complimentary psychological detox removes,1,complimentary psychological detox removes all,1
alien,worker 2,complimentary psychological detox,1,complimentary psychological detox removes,1,complimentary psychological detox removes all,1
alien,worker in a red shirt,complimentary psychological detox,1,complimentary psychological detox removes,1,complimentary psychological detox removes all,1
alien  1,alien 1,good afternooni know,1,good afternooni know all,1,good afternooni know all of,1
alien  1,beth,good afternooni know,1,good afternooni know all,1,good afternooni know all of,1
alien  1,female reporter alien,good afternooni know,1,good afternooni know all,1,good afternooni know all of,1
alien  1,jerry,good afternooni know,1,good afternooni know all,1,good afternooni know all of,1
alien  1,male reporter alien 1,good afternooni know,1,good afternooni know all,1,good afternooni know all of,1
alien  1,male reporter alien 2,good afternooni know,1,good afternooni know all,1,good afternooni know all of,1
alien 1,alien  1,the brave earth,1,the brave earth man,1,the brave earth man whose,1
alien 1,alien 2,an hour ago,1,an hour ago shrimply,1,an hour ago shrimply pibbles,1
alien 1,alien doctor,an hour ago,1,an hour ago shrimply,1,an hour ago shrimply pibbles,1
alien 1,beth,the brave earth,1,the brave earth man,1,the brave earth man whose,1
alien 1,female reporter alien,the brave earth,1,the brave earth man,1,the brave earth man whose,1
